[2026-06-07 09:22:32] --- NEW SESSION STARTED ---
[2026-06-07 09:22:46] 192.168.29.46:8017 -> 20.205.69.80:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (68 Packets)
[2026-06-07 09:22:46] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (69 Packets)
[2026-06-07 09:22:46] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (70 Packets)
[2026-06-07 09:22:47] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (71 Packets)
[2026-06-07 09:22:47] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (72 Packets)
[2026-06-07 09:22:47] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (73 Packets)
[2026-06-07 09:22:47] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (74 Packets)
[2026-06-07 09:22:48] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (75 Packets)
[2026-06-07 09:22:48] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (76 Packets)
[2026-06-07 09:22:48] 192.168.29.46:12022 -> 52.168.117.174:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (77 Packets)
[2026-06-07 09:22:48] 192.168.29.46:12022 -> 52.168.117.174:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (78 Packets)
[2026-06-07 09:22:48] 192.168.29.46:12022 -> 52.168.117.174:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (79 Packets)
[2026-06-07 09:22:48] 192.168.29.46:12022 -> 52.168.117.174:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (80 Packets)
[2026-06-07 09:22:48] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (81 Packets)
[2026-06-07 09:22:48] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (82 Packets)
[2026-06-07 09:22:48] 192.168.29.46:12022 -> 52.168.117.174:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (83 Packets)
[2026-06-07 09:22:49] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (84 Packets)
[2026-06-07 09:22:49] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (85 Packets)
[2026-06-07 09:22:49] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (86 Packets)
[2026-06-07 09:22:49] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (87 Packets)
[2026-06-07 09:22:50] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (88 Packets)
[2026-06-07 09:22:50] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (89 Packets)
[2026-06-07 09:22:50] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (90 Packets)
[2026-06-07 09:22:50] 192.168.29.46:13877 -> 20.205.69.80:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (91 Packets)
[2026-06-07 09:22:50] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (92 Packets)
[2026-06-07 09:22:50] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (93 Packets)
[2026-06-07 09:22:50] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (94 Packets)
[2026-06-07 09:22:50] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (95 Packets)
[2026-06-07 09:22:51] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (96 Packets)
[2026-06-07 09:22:51] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (97 Packets)
[2026-06-07 09:22:51] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (98 Packets)
[2026-06-07 09:22:51] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (99 Packets)
[2026-06-07 09:22:52] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (100 Packets)
[2026-06-07 09:22:52] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (101 Packets)
[2026-06-07 09:22:52] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (102 Packets)
[2026-06-07 09:22:52] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (103 Packets)
[2026-06-07 09:22:52] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (104 Packets)
[2026-06-07 09:22:52] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (105 Packets)
[2026-06-07 09:22:52] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (106 Packets)
[2026-06-07 09:22:53] 192.168.29.46:5352 -> 51.132.193.104:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (107 Packets)
[2026-06-07 09:22:53] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (108 Packets)
